5,Y:,7000_パートナー管理,006_Cumulocity(マイクロテクノロジ）,打ち合わせ,20160412_インストール要件意識合わせ,Cumulocity作成メモ.txt,,,,,,,,,,,,,,,0,0,784,784,784
5,Y:,1000_幹部・定例会議,1300_幹部会議,20151221_MI推進会議,他社動向,ATTVerizon.pdf,,,,,,,,,,,,,,,77289,77289,77289,77289,77289
5,Y:,4000_プロジェクト,4300_Step1商用開発,4330_ドキュメント,4330-01_サービス仕様書,[参考] uno_68_AOP_user_info_sheet_manual_R_160401.ppt,,,,,,,,,,,,,,,0,0,924160,924160,924160
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4230_環境構築,EC申込,MMDrive,社内業務委託書,,,,,,,,,,,,,,634911,634911
7,Y:,1000_幹部・定例会議,1300_幹部会議,推進室発足前,20150209 ★幹部ディスカッション(第1回),2.議事関係,報連相,20150210 M2M幹部ディスカッション議事案c.pptx,,,,,,,,,,,,,77310,77310,77310,77310,77310
5,Y:,5000_プロモーション,5200_展示会・講演,2016年度,20160525_Bizコンパス,【ITDMコラム4】NTTコミュニケーションズのIoTプラットフォームサービス戦略.docx,,,,,,,,,,,,,,,0,0,0,877913,877913
5,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4210_検討会,2015Q4,20160331_[CV]サービス確認事項,,,,,,,,,,,,,,,0,0,0,2264,2264
3,Y:,0000_プロジェクト管理,0400_座席表・休暇予定・連絡先一覧,2015_冬季休暇,,,,,,,,,,,,,,,,,44488,44488,44488,44488
6,Y:,1000_幹部・定例会議,1200_幹部事前説明,2015年度,20160125_経営課題報告(1月)_佐々倉部長,参考（当日は説明なし）,【参考　1.25】_IoT月次報告(2015年12月分).pptx,,,,,,,,,,,,,,0,0,0,1575349,1575349
5,Y:,5000_プロモーション,5200_展示会・講演,20160226_サービス体験Day(四営主催社内向け),参考資料,展示資料：Connected Factory.pptx,,,,,,,,,,,,,,,0,1044829,1044829
4,Y:,7000_パートナー管理,000NDA,JTエンジニアリグ,20151105_機密保持に関する覚書_JTエンジニアリング様,,,,,,,,,,,,,,,,59392,59392,59392,59392,59392
4,Y:,5000_プロモーション,5200_展示会・講演,20160225_2020ビジネス創造研究会,打ち合わせメモ,,,,,,,,,,,,,,,,46253,46253,46253
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4222_Connected Factory,4221-11_販売推進,151116_IoT提案戦略勉強会(講師：VEC事務局長 村上さん),,,,,,,,,,,,,,126478213,126502490,126502490,126502490,126502490
5,Y:,0000_プロジェクト管理,0600_内部定例,0620_定例資料,20151102,内部定例(151102)_松岡.txt,,,,,,,,,,,,,,,227,227,227,227,227
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4240_技術検証,mmCloud,受領資料,20160114_メールテンプレート内IPアドレス変更手順書,メールテンプレート内IPアドレス変更手順書.xlsx,,,,,,,,,,,,,756011,756011,756011,756011,756011
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4230_環境構築,EC申込,MMDrive,全体構成図,old,,,,,,,,,,,,,820574,820574
8,Y:,0000_プロジェクト管理,0500_庶務,海外出張手配,20160217_アメリカ出張,03_事後申請,金丸さん,エビデンス資料_金丸一誠,【領収書⑤(本人払い)】金丸一誠_高速代.pdf,,,,,,,,,,,,0,0,26190,26190,26190
3,Y:,6000_案件管理,6200_ユーザー案件,06_ALSOK,,,,,,,,,,,,,,,,,2753808,2753808,2753808,2753808,2753808
5,Y:,3000_メンバ作業用,有沢,04_IoT連絡会,old,150914_IoT案件共有会【消さないで】.pptx,,,,,,,,,,,,,,,161417,161417
3,Y:,0000_プロジェクト管理,0400_座席表・休暇予定・連絡先一覧,2015_夏季休暇,,,,,,,,,,,,,,,,,36076,36076,36076,36076
4,Y:,4000_プロジェクト,xxxx_CTS,20160411_SIC<c> A&C仕様打合せ #1,~$160410a_Connected Healthcare(仮称)サービス仕様書(案).docx,,,,,,,,,,,,,,,,0,0,0,162,162
