4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150129 フロントヒアリング IC本,20150128 打合せメモ.txt,,,,,,,,,,,,,,,,2409
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150129 フロントヒアリング IC本,TechMahindra.pdf,,,,,,,,,,,,,,,,269858
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150129 フロントヒアリング IC本,20150128_IoT-PFモデル検討.pptx,,,,,,,,,,,,,,,,1660442
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150129 フロントヒアリング IC本,,,,,,,,,,,,,,,,,1932709
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150216 フロントヒアリング 二営本高橋B,【資料2(お客様名マスク)】経企 提案案件例一部(IC本)【共有不可】20150209.pptx,,,,,,,,,,,,,,,,126784
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150216 フロントヒアリング 二営本高橋B,20150216 Agenda.pptx,,,,,,,,,,,,,,,,73089
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150216 フロントヒアリング 二営本高橋B,20150217 M2M案件情報_ヒアリング.xlsx,,,,,,,,,,,,,,,,27026
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150216 フロントヒアリング 二営本高橋B,【完成版】20150216_2営本打合せメモ.doc,,,,,,,,,,,,,,,,50688
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150216 フロントヒアリング 二営本高橋B,,,,,,,,,,,,,,,,,277587
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150710IC本奥澤部長,20150710IC本ヒヤリング奥澤B.txt,,,,,,,,,,,,,,,,1903
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150710IC本奥澤部長,IoTにおけるNTTComの取り組みについて20150601【1.1版】.pptx,,,,,,,,,,,,,,,,4768142
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150710IC本奥澤部長,IoTの取り組みfrom5G_20150709_v04.pptx,,,,,,,,,,,,,,,,1162117
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150710IC本奥澤部長,,,,,,,,,,,,,,,,,5932162
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150723_IoT案件情報まとめ（to幹部fromサビ戦),20150723_IoT案件情報.pptx,,,,,,,,,,,,,,,,54441
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150723_IoT案件情報まとめ（to幹部fromサビ戦),,,,,,,,,,,,,,,,,54441
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150717西日本本庄部長,20150717_西日本東レ案件.pdf,,,,,,,,,,,,,,,,3295728
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150717西日本本庄部長,20150717_西日本本庄部長（東レ）.docx,,,,,,,,,,,,,,,,32866
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150717西日本本庄部長,~$150717_西日本本庄部長（東レ）.docx,,,,,,,,,,,,,,,,162
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150717西日本本庄部長,,,,,,,,,,,,,,,,,3328756
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,hitoe-大林組との取り組みについて.pptx,,,,,,,,,,,,,,,,1287809
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,第1回hitoe連絡会配布物,0_第1回hitoe連絡会資料.pdf,,,,,,,,,,,,,,,1091085
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,第1回hitoe連絡会配布物,センシング関連研究のご紹介_NTT_EV研_20151204.pdf,,,,,,,,,,,,,,,1505812
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,第1回hitoe連絡会配布物,第1回hitoe連絡会議事メモ.docx,,,,,,,,,,,,,,,35655
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,第1回hitoe連絡会配布物,~$回hitoe連絡会議事メモ.docx,,,,,,,,,,,,,,,162
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,第1回hitoe連絡会配布物,,,,,,,,,,,,,,,,2632714
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,【hitoe】顧客対応方針（案）20151020 .pptx,,,,,,,,,,,,,,,76151
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,20151006hitoe議事次第_2.pptx,,,,,,,,,,,,,,,89650
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,20151020PoC2開発方針（案）Ver4.pptx,,,,,,,,,,,,,,,92226
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,Thumbs.db,,,,,,,,,,,,,,,34816
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,hitoe-v3.pptx,,,,,,,,,,,,,,,84302
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,各部との調整,,,,,,,,,,,,,,,,377145
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,20160126第二回hitoe社内連絡会.txt,,,,,,,,,,,,,,,,2290
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,hitoeのPC向け画面イメージ20150206.pptx,,,,,,,,,,,,,,,944927
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,IoTクラウド共通基盤_hitoe編_要求仕様書20150303.docx,,,,,,,,,,,,,,,69682
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,02_ウェアラブル生体センサシステム(画面イメージ).ppt,,,,,,,,,,,,,,,1471488
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,hitoe各判定ロジックの表示項目20150514.xlsx,,,,,,,,,,,,,,,27634
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,hitoeのスマホ向け画面イメージ20150416.pptx,,,,,,,,,,,,,,,589744
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,技開部PoC,,,,,,,,,,,,,,,,3103475
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,東レ見守りシステム,20151216_サービス仕様書.pptx.lnk,,,,,,,,,,,,,,,2897
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,東レ見守りシステム,Ver1.0_インフラ基盤基本設計書_20151021.pptx,,,,,,,,,,,,,,,2104094
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,東レ見守りシステム,,,,,,,,,,,,,,,,2106991
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,hitoe安全管理システム紹介資料.ppt,,,,,,,,,,,,,,,,3048960
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,IoT推進室-hitoe方針案20150817.ppt,,,,,,,,,,,,,,,,875520
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,docomoSDK,hitoe Transmitter SDK for Android利用カ?イト?_v1.0.0.pdf,,,,,,,,,,,,,,,830658
5,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,docomoSDK,hitoe Trasmitter SDK SampleApplicationManual.pdf,,,,,,,,,,,,,,,453005
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,docomoSDK,,,,,,,,,,,,,,,,1283663
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,（プレゼン版）【Safety2.0】IoT時代のヒトの安心・安全革命(NTTcom).pptx,,,,,,,,,,,,,,,,12788041
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,20151218hitoeシステム概要（各社差分）.pptx,,,,,,,,,,,,,,,,149552
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,【提案活動状況】hitoe20150721.pptx,,,,,,,,,,,,,,,,98743
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150804_技開部hitoe,,,,,,,,,,,,,,,,,27754903
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150724NTTPC小原部長,20150724NTTPC社.pdf,,,,,,,,,,,,,,,,1763636
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150724NTTPC小原部長,20150724NTTPC小原部長.txt,,,,,,,,,,,,,,,,3267
3,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150724NTTPC小原部長,,,,,,,,,,,,,,,,,1766903
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150217 フロントヒアリング IC本奥澤B,20150217 M2M案件情報_ヒアリング【IC本送付用】.xlsx,,,,,,,,,,,,,,,,29846
4,Y:,6000_案件管理,6100_TF発足前のヒアリング資料資料,20150217 フロントヒアリング IC本奥澤B,【資料2(お客様名マスク)】経企 提案案件例一部(IC本)【共有不可】20150209.pptx,,,,,,,,,,,,,,,,126784
